,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
0,1,0,3,108,1,-0.09721078445804607,0.0596240179573513,-0.06359895248784138,523,-0.048707370121739375,2
1,2,1,1,190,0,0.1038447571353191,0.0596240179573513,-0.06359895248784138,596,0.07627730769869326,0
2,3,1,3,353,0,-0.046946899059704776,-0.0653759820426487,-0.06359895248784138,669,-0.047389857865947585,2
3,4,1,1,272,0,0.06614684308656313,0.0596240179573513,-0.06359895248784138,49,0.04078586977167291,2
4,5,0,3,15,1,0.06614684308656313,-0.0653759820426487,-0.06359895248784138,472,-0.04714587411487504,2
5,6,0,3,554,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,275,-0.04634892559037165,1
6,7,0,1,515,1,0.3049002987286843,-0.0653759820426487,-0.06359895248784138,85,0.03837043063605463,2
7,8,0,3,624,1,-0.34853021144975255,0.3096240179573513,0.10306771417882528,395,-0.02172276725311506,2
8,9,1,3,412,0,-0.03438092771011945,-0.0653759820426487,0.26973438084549195,344,-0.041127673317419025,2
9,10,1,2,576,0,-0.19773855525472867,0.0596240179573513,-0.06359895248784138,132,-0.004164135029927315,0
10,11,1,3,727,0,-0.32339826875058186,0.0596240179573513,0.10306771417882528,616,-0.0302621985406544,2
11,12,1,1,95,0,0.35516418412702555,-0.0653759820426487,-0.06359895248784138,38,-0.011036278956137255,2
12,13,0,3,729,1,-0.12234272715721671,-0.0653759820426487,-0.06359895248784138,535,-0.04714587411487504,2
13,14,0,3,28,1,0.11641072848490443,0.0596240179573513,0.7697343808454921,333,-0.0018136931655947724,2
14,15,0,3,840,0,-0.19773855525472867,-0.0653759820426487,-0.06359895248784138,413,-0.047528050262555084,2
15,16,1,2,359,0,0.3174662700782696,-0.0653759820426487,-0.06359895248784138,153,-0.031628507546660696,2
16,17,0,3,682,1,-0.34853021144975255,0.4346240179573513,0.10306771417882528,480,-0.0060102136840426736,1
17,18,1,2,867,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,151,-0.037484117572401957,2
18,19,0,3,839,0,0.01588295768822184,0.0596240179573513,-0.06359895248784138,301,-0.02772476752949985,2
19,20,1,3,512,0,-0.022874157010690743,-0.0653759820426487,-0.06359895248784138,184,-0.04875616687195388,0
20,21,0,2,273,1,0.06614684308656313,-0.0653759820426487,-0.06359895248784138,139,-0.012109807460856489,2
21,22,1,2,80,1,0.053580871736977814,-0.0653759820426487,-0.06359895248784138,152,-0.037484117572401957,2
22,23,1,3,523,0,-0.18517258390514332,-0.0653759820426487,-0.06359895248784138,278,-0.04718647301105351,1
23,24,1,1,765,1,-0.021814956360534127,-0.0653759820426487,-0.06359895248784138,42,0.006432957620657507,2
24,25,0,3,626,0,-0.2731343833522406,0.3096240179573513,0.10306771417882528,395,-0.02172276725311506,2
25,26,1,3,44,0,0.1038447571353191,0.0596240179573513,0.7697343808454921,329,-0.0015941077896294738,2
26,27,0,3,240,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,179,-0.04875616687195388,0
27,28,0,1,260,1,-0.13490869850680204,0.3096240179573513,0.26973438084549195,95,0.4504833845727032,2
28,29,1,3,605,0,-0.022874157010690743,-0.0653759820426487,-0.06359895248784138,283,-0.04747925351234057,1
29,30,0,3,813,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,362,-0.047446852470198135,2
30,31,0,1,828,1,0.12897669983448976,-0.0653759820426487,-0.06359895248784138,598,-0.0087510295500913,0
31,32,1,1,776,0,-0.022874157010690743,0.0596240179573513,-0.06359895248784138,586,0.22313112746926267,0
32,33,1,3,289,0,-0.022874157010690743,-0.0653759820426487,-0.06359895248784138,288,-0.047731435117449164,1
33,34,0,2,856,1,0.4556919549237082,-0.0653759820426487,-0.06359895248784138,549,-0.042363792593853006,2
34,35,0,1,535,1,-0.021814956360534127,0.0596240179573513,-0.06359895248784138,600,0.0975282924171126,0
35,36,0,1,372,1,0.15410864253366038,0.0596240179573513,-0.06359895248784138,43,0.038638812762234444,2
36,37,1,3,505,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,202,-0.04874796901791785,0
37,38,0,3,134,1,-0.1097767558076314,-0.0653759820426487,-0.06359895248784138,514,-0.04714587411487504,2
38,39,0,3,837,0,-0.14747466985638735,0.18462401795735128,-0.06359895248784138,302,-0.02772476752949985,2
39,40,1,3,589,0,-0.19773855525472867,0.0596240179573513,-0.06359895248784138,186,-0.04091609060848891,0
40,41,0,3,7,0,0.12897669983448976,0.0596240179573513,-0.06359895248784138,507,-0.044364459352647934,2
41,42,0,2,827,0,-0.03438092771011945,0.0596240179573513,-0.06359895248784138,53,-0.02186915750375859,2
42,43,0,3,446,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,391,-0.047446852470198135,0
43,44,1,2,456,0,-0.33596424010016723,0.0596240179573513,0.26973438084549195,634,0.0182987657768196,0
44,45,1,3,212,0,-0.13490869850680204,-0.0653759820426487,-0.06359895248784138,282,-0.04747925351234057,1
45,46,0,3,697,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,617,-0.04714587411487504,2
46,47,0,3,473,1,0.012447981458157483,0.0596240179573513,-0.06359895248784138,462,-0.0326044425509509,1
47,48,1,3,604,0,-0.022874157010690743,-0.0653759820426487,-0.06359895248784138,76,-0.047731435117449164,1
48,49,0,3,726,1,0.012447981458157483,0.18462401795735128,-0.06359895248784138,190,-0.020543447393930766,0
49,50,0,3,38,0,-0.14747466985638735,0.0596240179573513,-0.06359895248784138,377,-0.028115141531215936,2
50,51,0,3,629,1,-0.2857003547018259,0.4346240179573513,0.10306771417882528,249,0.014606413281588017,2
51,52,0,3,594,1,-0.1097767558076314,-0.0653759820426487,-0.06359895248784138,522,-0.04763384161702014,2
52,53,1,1,333,0,0.24207044198075767,0.0596240179573513,-0.06359895248784138,587,0.0869069965784214,0
53,54,1,2,246,0,-0.009248985010948804,0.0596240179573513,-0.06359895248784138,239,-0.012109807460856489,2
54,55,0,1,620,1,0.44312598357412286,-0.0653759820426487,0.10306771417882528,29,0.05811691395186017,0
55,56,1,1,873,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,94,0.006432957620657507,2
56,57,1,2,707,0,-0.1097767558076314,-0.0653759820426487,-0.06359895248784138,555,-0.042363792593853006,2
57,58,0,3,595,1,-0.015531970685741466,-0.0653759820426487,-0.06359895248784138,215,-0.04874796901791785,0
58,59,1,2,853,0,-0.31083229740099655,0.0596240179573513,0.26973438084549195,561,-0.008694034945840753,2
59,60,0,3,299,1,-0.23543646930348464,0.5596240179573513,0.26973438084549195,566,0.0286842757184743,2
60,61,0,3,749,1,-0.09721078445804607,-0.0653759820426487,-0.06359895248784138,197,-0.04874796901791785,0
61,62,1,1,385,0,0.1038447571353191,-0.0653759820426487,-0.06359895248784138,32,0.09329117300248622,2
62,63,0,1,337,1,0.19180655658241635,0.0596240179573513,-0.06359895248784138,457,0.10007392128230316,2
63,64,0,3,755,1,-0.32339826875058186,0.3096240179573513,0.26973438084549195,337,-0.008401254444553691,2
64,65,0,1,784,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,601,-0.0087510295500913,0
65,66,1,3,560,1,0.012447981458157483,0.0596240179573513,0.10306771417882528,189,-0.03310060790713205,0
66,67,1,2,596,0,-0.009248985010948804,-0.0653759820426487,-0.06359895248784138,553,-0.042363792593853006,2
67,68,0,3,185,1,-0.13490869850680204,-0.0653759820426487,-0.06359895248784138,623,-0.04693448659294577,2
68,69,1,3,25,0,-0.1600406412059727,0.4346240179573513,0.26973438084549195,248,-0.047389857865947585,2
69,70,0,3,440,1,-0.046946899059704776,0.18462401795735128,-0.06359895248784138,270,-0.045950353734619524,2
70,71,0,2,396,1,0.028448929037807165,-0.0653759820426487,-0.06359895248784138,557,-0.042363792593853006,2
71,72,0,3,300,0,-0.172606612555558,0.5596240179573513,0.26973438084549195,566,0.0286842757184743,2
72,73,0,2,376,1,-0.1097767558076314,-0.0653759820426487,-0.06359895248784138,621,0.08060401794671349,2
73,74,0,3,161,1,-0.046946899059704776,0.0596240179573513,-0.06359895248784138,204,-0.03464570820592431,0
74,75,1,3,87,1,0.028448929037807165,-0.0653759820426487,-0.06359895248784138,80,0.04741402994681031,2
75,76,0,3,546,1,-0.0595128704092901,-0.0653759820426487,-0.06359895248784138,347,-0.047926622118307206,2
76,77,0,3,778,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,355,-0.047446852470198135,2
77,78,0,3,563,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,473,-0.04714587411487504,2
78,79,1,2,127,1,-0.3632323979287674,-0.0653759820426487,0.26973438084549195,158,-0.006254197435115226,2
79,80,1,3,223,0,0.0033169863386365186,-0.0653759820426487,-0.06359895248784138,432,-0.03850884932690667,2
80,81,0,3,842,1,-0.09721078445804607,-0.0653759820426487,-0.06359895248784138,304,-0.04529159760672364,2
81,82,1,3,737,1,-0.009248985010948804,-0.0653759820426487,-0.06359895248784138,311,-0.04431566260243343,2
82,83,1,3,519,0,-0.022874157010690743,-0.0653759820426487,-0.06359895248784138,280,-0.04765823999212739,1
83,84,0,1,141,1,-0.021814956360534127,-0.0653759820426487,-0.06359895248784138,25,0.029074649720190388,2
84,85,1,2,386,0,-0.1600406412059727,-0.0653759820426487,-0.06359895248784138,637,-0.042363792593853006,2
85,86,1,3,52,0,0.041014900387392486,0.3096240179573513,-0.06359895248784138,247,-0.031921288047947756,2
86,87,0,3,255,1,-0.172606612555558,0.0596240179573513,0.43640104751215864,676,0.004237103861004534,2
87,88,0,3,764,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,652,-0.04714587411487504,2
88,89,1,1,259,0,-0.08464481310846074,0.3096240179573513,0.26973438084549195,95,0.4504833845727032,2
89,90,0,3,149,1,-0.07207884175887543,-0.0653759820426487,-0.06359895248784138,297,-0.04714587411487504,2
90,91,0,3,159,1,-0.009248985010948804,-0.0653759820426487,-0.06359895248784138,298,-0.04714587411487504,2
91,92,0,3,31,1,-0.12234272715721671,-0.0653759820426487,-0.06359895248784138,341,-0.047528050262555084,2
92,93,0,1,150,1,0.2043725279320017,0.0596240179573513,-0.06359895248784138,678,0.0565472200909598,2
93,94,0,3,209,1,-0.046946899059704776,0.0596240179573513,0.26973438084549195,548,-0.022698702257405272,2
94,95,0,3,184,1,0.36773015547661086,-0.0653759820426487,-0.06359895248784138,428,-0.048707370121739375,2
95,96,0,3,740,1,0.012447981458157483,-0.0653759820426487,-0.06359895248784138,475,-0.04714587411487504,2
